ingredient_name,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g
ayam,165,31.0,3.6,0.0,0.0
daging ayam,165,31.0,3.6,0.0,0.0
ayam kampung,150,28.0,3.2,0.0,0.0
daging sapi,250,26.0,15.0,0.0,0.0
sapi,250,26.0,15.0,0.0,0.0
daging kambing,234,27.0,13.0,0.0,0.0
kambing,234,27.0,13.0,0.0,0.0
ikan,105,22.0,1.5,0.0,0.0
gurame,96,19.0,1.2,0.0,0.0
ikan kembung,103,21.0,1.8,0.0,0.0
ikan mujaer,97,18.5,1.4,0.0,0.0
udang,99,24.0,0.3,0.2,0.0
udang besar,99,24.0,0.3,0.2,0.0
telur,155,13.0,11.0,1.1,0.0
telur ayam,155,13.0,11.0,1.1,0.0
tahu,76,8.0,4.8,1.9,0.3
tahu putih,76,8.0,4.8,1.9,0.3
tahu kuning,80,8.5,5.0,2.0,0.3
tempe,193,19.0,11.0,9.4,4.1
bawang merah,40,1.1,0.1,9.3,1.7
bawang putih,149,6.4,0.5,33.1,2.1
bawang bombai,40,1.1,0.1,9.3,1.7
cabe merah,40,1.9,0.4,8.8,1.5
cabai merah,40,1.9,0.4,8.8,1.5
cabe rawit,40,2.0,0.4,8.5,1.5
cabai rawit,40,2.0,0.4,8.5,1.5
tomat,18,0.9,0.2,3.9,1.2
wortel,41,0.9,0.2,9.6,2.8
kentang,77,2.0,0.1,17.0,2.2
kol,25,1.3,0.1,5.8,2.5
kubis,25,1.3,0.1,5.8,2.5
bayam,23,2.9,0.4,3.6,2.2
kangkung,19,2.6,0.3,3.1,2.0
buncis,31,1.8,0.1,7.1,2.7
daun bawang,32,1.8,0.2,7.3,2.6
seledri,16,0.7,0.2,3.0,1.6
kemangi,23,3.2,0.6,2.7,1.6
jahe,80,1.8,0.8,18.0,2.0
kunyit,354,7.8,9.9,65.0,21.0
lengkuas,121,1.7,0.6,26.0,2.1
sereh,99,1.8,0.5,25.0,1.8
serai,99,1.8,0.5,25.0,1.8
kemiri,654,8.0,63.5,13.0,2.7
ketumbar,298,12.4,17.8,54.9,10.4
santan,230,2.3,24.0,5.5,0.0
kecap manis,79,5.8,0.0,15.0,0.0
saus tiram,37,1.0,0.4,8.2,0.2
tepung terigu,364,10.3,1.0,76.3,2.7
minyak goreng,884,0.0,100.0,0.0,0.0
garam,0,0.0,0.0,0.0,0.0
gula,387,0.0,0.0,100.0,0.0
lada,255,10.4,3.3,63.9,26.5
merica,255,10.4,3.3,63.9,26.5
jeruk nipis,30,0.7,0.2,11.0,2.8
nasi,130,2.7,0.3,28.2,0.4
kornet,217,15.0,15.0,4.0,0.0
mentega,717,0.9,81.1,0.1,0.0
